7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
4    78  161.104   2.0879      33.6694   230     
4    79  161.698   2.09659     33.8096   230     
4    80  161.503   2.10363     33.9231   230     
4    81  161.144   2.10093     33.8796   230     
4    82  161.132   2.03093     32.7508   230     
4    83  161.746   2.08285     33.588    230     
4    84  161.807   2.10339     33.9192   230     
4    85  161.25    2.09605     33.8009   230     
4    86  161.39    2.04241     32.9359   230     
4    87  160.97    2.10208     33.8981   230     
4    88  161       2.09875     33.8445   230     
4    89  161.156   2.08237     33.5803   230     
4    90  162.667   2.06572     33.3119   230     
4    91  162.375   2.0341      32.802    230     
4    92  161.318   2.0808      33.555    230     
4    93  160.809   2.08493     33.6215   230     
4    94  161.584   2.07981     33.539    230     
4    95  161.083   2.11536     34.1123   230     
4    96  160.95    2.09329     33.7564   230     
4    97  160.735   2.13784     34.4748   230     
4    98  161.44    2.06944     33.3718   230     
4    99  162.066   2.04932     33.0473   230     
4    100 162.146   2.05466     33.1335   230     
Done run 4 of 29

Beginning Run 5 of 29
Run  RI  Mean      95% CI      SD        Best    
5    0   24.597    0.207185    3.34107   40.8    
slurmstepd: error: *** JOB 2882608 ON gra643 CANCELLED AT 2023-01-22T22:45:54 DUE TO TIME LIMIT ***
